brand,title,type,price,sold,type_cleaned
Unbranded,Men's Pheromone-Infused Perfume Cupid Hypnosis Cologne Fragrances Charm Toilette,perfume,15.99,65.0,Perfume
Dossier,Dossier Fougere Pink Pepper Eau de Parfum. Size: 50ml / 1.7oz,eau de parfum,20.0,16.0,Eau de Parfum
Ralph Lauren,Ralph Lauren Polo Red 6.7oz / 200ml Men's Eau De Toilette Spray Brand New Sealed,eau de toilette,41.95,37.0,Eau de Toilette
Parfums de Marly,CARLISLE by Parfums de Marly - 5ML Travel Sample Spray - TOP PDM Scent!!,eau de parfum,19.99,6.0,Eau de Parfum
Creed,Creed Aventus Eau De Parfum Travel Size Spray 10ml / 0.33oz Batch F002525 Sample,eau de parfum,38.99,20.0,Eau de Parfum
Dolce&Gabbana,K by Dolce & Gabbana 3.3 oz EDP Cologne for Men New In Box,eau de parfum,55.15,64.0,Eau de Parfum
Dolce&Gabbana,Dolce & Gabbana The One for Men 3.3 oz./ 100 ml. Eau de Parfum Spray For Men New,eau de parfum,74.48,5.0,Eau de Parfum
Lattafa,Lattafa Men's Pride Winners Trophy Silver EDP Spray 3.4 oz Fragrances,fragrances,33.49,4.0,Other
Roja,"Roja Parfums Elysium Pour Homme Parfum Cologne Sample Spray .06oz, 1.7ml in Card",eau de cologne,17.89,68.0,Cologne
Gucci,GUCCI GUILTY POUR HOMME * Cologne for Men * EDT * 3.0 oz * BRAND NEW IN BOX,eau de toilette,58.46,5227.0,Eau de Toilette
Parfums de Marly,Parfums de Marly LAYTON Royal Essence EDP Spray 4.2 fl oz. NEW Sealed Box,eau de parfum,91.98,7.0,Eau de Parfum
Calvin Klein,Obsession by Calvin Klein for Men 3.4 oz After Shave Balm in Tube Full Size NEW,aftershave,17.99,3.0,aftershave
Salvatore Ferragamo,Intense Leather by Salvatore Ferragamo for Men 3.4oz (100ML) Eau De Parfum Spray,eau de parfum,69.95,120.0,Eau de Parfum
Paco Rabanne,Paco Rabanne 1 One Million Lucky Eau De Toilette 6.8 oz / 200 ml For Men,eau de toilette,135.0,4.0,Eau de Toilette
Cologne,Ralph Lauren Polo Green 4.0 fl oz Cologne Eau De Toilette Factory Sealed New,eau de toilette,35.0,214.0,Eau de Toilette
Michael Jordan,Michael Jordan Legend by Michael Jordan 3.4 oz Cologne Spray for Men New In Box,eau de cologne,21.79,488.0,Cologne
ysl,YSL Yves Saint Laurent Y Eau de Toilette Spray 3.3 oz/100ML EDT Mens Cologne New,eau de toilette,38.0,42.0,Eau de Toilette
Ralph Lauren,"Polo Blue by Ralph Lauren 4.2 Oz – Men's Eau De Toilette, Sealed Packaging",eau de toilette,34.99,31.0,Eau de Toilette
Dolce&Gabbana,The One by Dolce & Gabbana D&G Cologne for Men 3.3 / 3.4 oz Brand New In Box,eau de toilette,53.45,3787.0,Eau de Toilette
Paco Rabanne,Paco Rabanne PHANTOM Parfum 1.7 oz / 50 ml Men's Spray,parfum,82.99,2.0,Eau de Parfum
Valentino,Valentino Uomo Born In Roma Coral Fantasy 3.4 oz/100ml EDT Cologne for Men New,eau de toilette,79.99,11.0,Eau de Toilette
PRADA,Prada Luna Rossa Black EDP Eau De Parfum 8ml Sample,eau de parfum,22.99,1.0,Eau de Parfum
Afnan,Ornament pour homme by Afnan Cologne For Men EDP 3.3 / 3.4 oz New in Box,eau de perfume,22.15,196.0,Eau de Parfum
Polo Ralph Lauren,Polo Black by Ralph Lauren EDT 2.5 oz 75 ml NEW IN SEALED BOX,eau de toilette,26.55,15.0,Eau de Toilette
Designer Series,Free Shipping PERFUME For Men BLUE 100ml 3.4fl.oz Long Lasting Fragrance Cologne,eau de toilette,12.6,229.0,Eau de Toilette
Bond No. 9,New York Nights Bond No 9 Made Stronger With Pheromones For Super Sexual Allure!,eau de parfum,17.98,9.0,Eau de Parfum
Tom Ford,Tom Ford Beau De Jour 3.4 oz EDP Cologne for Men New In Box,eau de parfum,135.49,64.0,Eau de Parfum
YSL,YSL Y EDT cologne for men Eau de Toilette EDT 3.3 / 3.4 oz New With Box,eau de toilette,52.99,60.0,Eau de Toilette
Lacoste,Lacoste Eau De Lacoste Blanc L.12.12 Cologne for Men 5.9 / 6 oz New In Box,eau de toilette,54.5,1995.0,Eau de Toilette
Alexandria Fragrances,Alexandria fragrances: BLACK PANTHER INSPIRED BY BVLGARI TYGAR,eau de parfum,3.0,4.0,Eau de Parfum
Armaf,Odyssey Homme by Armaf 6.7 / 6.8 oz EDP Cologne for Men New in Box,eau de perfume,36.95,120.0,Eau de Parfum
Giorgio Armani,"Acqua di Gio by Giorgio Armani for Men,  Eau de Toilette 6.7 oz Spray New in Box",eau de toilette,51.99,28.0,Eau de Toilette
CHANEL,Chanel Platinum Egoiste (0.05 Oz / 1.5 ML) Sample Spray *New/Carded*,eau de toilette,12.0,11.0,Eau de Toilette
Maison Martin Margiela,Replica Jazz Club by Maison Margiela 3.4 fl oz EDT Spray for Men New in Box US,eau de toilette,39.99,11.0,Eau de Toilette
Bvlgari,Bvlgari Rose Goldea  by Bvlgari EDP 3 fl oz / 90 ml *NEW*,eau de parfum,64.99,15.0,Eau de Parfum
KENZO,Kenzo Homme MARINE 3.7 oz./110 ml. Eau de Toilette Marine Spray for Men New,eau de toilette,76.99,33.0,Eau de Toilette
El Ganso,El Ganso Bravo Monsieur Eau De Toilette EDT  4.2 oz 125 ml Cologne New,eau de toilette,56.0,6.0,Eau de Toilette
Avon,AVON Fullspeed Eau de Toilette 75ml - 2.5 fl.oz Full Speed,eau de toilette,45.9,74.0,Eau de Toilette
VICTOR MANUELLE,VICTOR MANUELLE GOLD EAU DE PARFUM SPRAY FOR MEN 3.4 Oz / 100 ml BRAND NEW!!!,eau de parfum,39.99,153.0,Eau de Parfum
English Laundry,"Oxford Bleu by English Laundry, 3.4 oz EDP Spray for Men",eau de parfum,36.67,169.0,Eau de Parfum
Luxury,Luxury by New Brand cologne for men EDT 3.3 /3.4 oz New In Box,eau de toilette,10.67,272.0,Eau de Toilette
Yves Saint Laurent,YSL Y Eau Fraiche (3.3 Oz/100 ML) Eau De Toilette Spray *Rare/Discontinued*,eau de toilette,92.0,9.0,Eau de Toilette
MontBlanc,MontBlanc Men's Starwalker EDT Spray 2.5 oz Fragrances 3386460028486 (Tester),fragrances,31.29,1.0,Other
Jil Sander,Sun by Jil Sander cologne for men EDT 4.2 oz New In Box,eau de toilette,27.84,85.0,Eau de Toilette
Dolce&Gabbana,Dolce & Gabbana Light Blue Italian Love Pour Homme 100ml / 3.3 oz EDT Spray Rare,eau de toilette,99.99,17.0,Eau de Toilette
AS SHOW,A-ventu-s for Men 3.3 OZ./ 100 ML.Eau de Parfum Spray for Men New Sealed Box,eau de parfum,99.49,3.0,Eau de Parfum
Acqua di Parma,Acqua Di Parma Colonia Collection For Men Sample Spray Vials 5pc Set,eau de cologne,23.95,78.0,Cologne
Guy Laroche,Set of 12 GUY LAROCHE DRAKKAR INTENSE EDP PARFUM SPRAY MEN SAMPLE 1.2 ML/0.04 OZ,eau de toilette,19.99,58.0,Eau de Toilette
Salvatore Ferragamo,F by Ferragamo Pour Homme cologne EDT 3.3 / 3.4 oz New in Box,eau de toilette,26.86,1047.0,Eau de Toilette
Paco Rabanne,Paco Rabanne 1 Million Royal Parfum 3.4 oz Cologne for Men New In Box,eau de parfum,74.99,23.0,Eau de Parfum
Calvin Klein,Truth by Calvin Klein 3.4 oz EDT Cologne for Men New In Box,eau de toilette,31.57,287.0,Eau de Toilette
Givenchy,Givenchy Gentleman 3.3 oz EDT Eau de Toilette INTENSE Spray for Men New in Box,eau de toilette,39.99,45.0,Eau de Toilette
Avon,Avon Perceive 3.4oz Men's Eau de Cologne Lot Of 4 Fast- Free Shpping,eau de cologne,51.49,37.0,Cologne
Armaf,Odyssey Aoud Edition by Armaf 3.4 oz EDP Cologne for Men New In Box,eau de parfum,29.03,11.0,Eau de Parfum
Moschino,Toy Boy by Moschino 3.4 oz EDP Cologne for Men New In Box,eau de parfum,39.95,5.0,Eau de Parfum
Lattafa,LATTAFA PERFUMES FAKHAR EAU DE PARFUM 100ML/3.3OZ MEN NEW IN BOX,eau de parfum,25.99,71.0,Eau de Parfum
Azzaro,Tester Men Azzaro Pour Homme Eau de Toilette Spray 3.4 oz 100 ml Cologne EDT,eau de toilette,18.11,12.0,Eau de Toilette
Dolce&Gabbana,Dolce & Gabbana The One Mysterious Night Exclusive 100ml / 3.3 oz EDP Spray Men,eau de parfum,124.99,13.0,Eau de Parfum
Montblanc,Explorer Platinum by Mont Blanc 3.3 oz EDP Cologne for Men New In Box,eau de parfum,52.94,100.0,Eau de Parfum
MAISON ALHAMBRA,Woody Oud by Lattafa For Men EDP 2.7oz / 80ml new in box,perfume,29.99,42.0,Perfume
Ralph Lauren,Polo Sport by Ralph Lauren 4.2 oz EDT Cologne for Men New In Box,eau de toilette,32.98,507.0,Eau de Toilette
Giorgio Armani,Acqua Di Gio by Giorgio Armani 3.4 fl oz/100 mL EDT Spray for Men NEW IN BOX,eau de toilette,29.99,12.0,Eau de Toilette
Giorgio Armani,Armani Code By Giorgio Armani EDT for Men 4.2 oz / 125 ml NEW IN SEALED BOX,eau de toilette,37.95,20.0,Eau de Toilette
Giorgio Armani,Giorgio Armani Acqua Di Gio 3.4oz Men's Eau de Toilette New Sealed,eau de toilette,29.99,9.0,Eau de Toilette
Versace,Blue Jeans by Versus Gianni Versace 2.5 oz EDT Cologne for Men New In Box,eau de toilette,20.37,4569.0,Eau de Toilette
Ralph Lauren,Men Polo Deep Blue by Ralph Lauren 4.2 oz Parfum Cologne New In Box,eau de parfum,53.99,16.0,Eau de Parfum
Paco Rabanne,Invictus by Paco Rabanne 3.4 oz EDT Cologne for Men Brand New Tester,eau de toilette,45.99,2452.0,Eau de Toilette
PRADA,PRADA L'Homme Prada Eau de Toilette Spray 1.7fl oz/50ml Men's EDT NEW & SEALED,eau de toilette,68.55,65.0,Eau de Toilette
Paco Rabanne,Paco Rabanne Invictus 3.4 oz EDT Sporty Men's Fragrance Heroic Scent,eau de toilette,39.99,23.0,Eau de Toilette
Hybrid & Company,Perfume Para Hombre Con Feromonas De Atraer Mujeres Fragancia Colonia Masculino*,perfume,24.19,73.0,Perfume
Perry Ellis,360 by Perry Ellis 3.4 oz EDT Cologne for Men New In Box,eau de toilette,23.01,2611.0,Eau de Toilette
Jean Paul Gaultier,Jean Paul Gaultier Le Beau 4.2 oz. Eau de Toilette Spray for Men New and Sealed,eau de toilette,136.0,51.0,Eau de Toilette
Lattafa,Opulent Oud by Lattafa 3.4 oz EDP Cologne for Men New in Box,eau de parfum,16.9,127.0,Eau de Parfum
Houbigant,DUC DE VERVINS by Houbigant Eau De Toilette Spray 4 oz -120 ml Men New & Sealed.,eau de toilette,68.0,33.0,Eau de Toilette
Ralph Lauren,Polo Ralph Lauren Black EDT Eau De Toilette 2.5 oz. NIB! SEALED!,eau de toilette,25.0,8.0,Eau de Toilette
HUGO BOSS,Hugo by Hugo Boss 6.7 oz EDT Cologne for Men Brand New In Box,eau de toilette,50.79,7506.0,Eau de Toilette
Lattafa,Sheikh Al Shuyukh Luxe Edition by Lattafa 3.4 oz EDP Cologne Men New in Box,eau de parfum,17.18,65.0,Eau de Parfum
Perry Ellis,360 White by Perry Ellis 3.4 oz edt 3.3 Spray for Men New in BOX,eau de toilette,21.91,1831.0,Eau de Toilette
Zara,ZARA Sunrise On The Red Sand Dunes (Mylene Alran) 3.4oz (100ml) EDP Spray SEALED,eau de parfum,48.97,30.0,Eau de Parfum
Tommy Bahama,Tommy Bahama Maritime Deep Blue for Men 4.2 oz 125 ML Cologne Spray NEW AS PIC**,eau de cologne,25.99,209.0,Cologne
Guerlain,Guerlain Imperiale For Men 3.3 FL OZ /100ml Eau De Cologne New Sealed Box,eau de cologne,96.95,6.0,Cologne
AS SHOW,Bleu De Paris Perfume 3.4Oz Eau De Parfum Cologne for Men Spray New With Box,eau de parfum,74.99,4.0,Eau de Parfum
Lattafa,Hayaati by Lattafa 100 ml 3.4 EDP Perfume for Men Brand New sealed Free shipping,eau de parfum,23.89,14.0,Eau de Parfum
Mancera,Original MANCERA CEDRAT BOISE 4 oz (120 ml) EDP Spray NEW & SEALED,eau de parfum,69.97,30.0,Eau de Parfum
Unbranded,Men's Pheromone-Infused Perfume-Cupid Hypnosis Cologne Fragrances Charm Toilette,perfume,15.99,45.0,Perfume
PRADA,Lhomme / Prada EDT Spray 1.7 oz (50 ml) (m),eau de toilette,66.55,7.0,Eau de Toilette
Givenchy,Givenchy Men's Gentleman EDT Spray 3.3 oz (Tester) Fragrances 3274872441071,fragrances,48.87,8.0,Other
GIVENCHY,GIVENCHY GENTLEMAN RESERVE PRIVEE EAU DE PARFUM SPRAY MEN 2.0 Oz / 60 ml NEW!!!,eau de parfum,72.99,180.0,Eau de Parfum
Afnan,Afnan Men's Turathi Brown EDP Spray 3.0 oz Fragrances 6290171070603,fragrances,31.95,5.0,Other
Creed,Creed Aventus by Creed EDP Cologne for Men 1.7 oz New In Box,eau de parfum,188.3,266.0,Eau de Parfum
Dolce&Gabbana,K by Dolce and Gabbana for Men - 3.3 oz EDP Spray,eau de parfum,55.45,11.0,Eau de Parfum
Nautica,Nautica Voyage Heritage by Nautica 3.4 oz EDT Cologne for Men New In Box,eau de toilette,18.33,1332.0,Eau de Toilette
Giorgio Armani,Armani Acqua Di Gio Parfum Refillable for Men 4.2 Oz / 125ml,parfum,123.99,5.0,Eau de Parfum
GIVENCHY,GIVENCHY GENTLEMAN SOCIETY EXTREME EAU DE PARFUM SPRAY FOR MEN 2.0 Oz / 60 ml,eau de parfum,70.0,2.0,Eau de Parfum
Assorted,Men's Cologne Sample Spray Vials - Choose Scent Combined Shipping,eau de parfum/ eau de toilette,3.5,3009.0,Eau de Parfum
Unbranded,New 2024 Sexy Cologne Cupid Hypnosis Long Lasting Pheromone Perfume for Men US,fragrance rolling ball,10.99,38.0,Other
AXE,Axe Deodorant Body Spray Anarchy For Him Men's Fragrance 150ml -PACK OF 12,deodorant body spray,42.99,26.0,Body Spray
Emporio Armani,Stronger With You by Emporio Armani 3.3 oz. Eau de Toilette Spray Men Sealed Box,eau de toilette,71.9,244.0,Eau de Toilette
Salvatore Ferragamo,Salvatore Ferragamo Men's Uomo Urban Feel EDT Spray 3.4 oz Fragrances,eau de toilette,32.89,5.0,Eau de Toilette
As Show,Versace Pour Homme Dylan Blue EDT Cologne for Men 3.4 oz New in Box,eau de toilette,38.99,37.0,Eau de Toilette
Does not apply,Perfume For Men With Pheromones To Attract Women Fragrance Cologne Masculino,does not apply,16.34,103.0,Other
Issey Miyake,Fusion D'issey Extreme by Issey Miyake men EDT intense 3.3 / 3.4  oz New In Box,eau de toilette,44.61,27.0,Eau de Toilette
Kenneth Cole,Kenneth Cole For Him by kenneth Cole cologne EDT 3.3 / 3.4 oz New Tester,eau de toilette,18.66,58.0,Eau de Toilette
HERMÈS,Eau D'Orange Verte by Hermes Cologne for Men 3.3 / 3.4 oz New In Box,eau de cologne,62.62,335.0,Cologne
Tiffany,Tiffany Love for Him 3 oz Eau de Toilette EDT Perfume for Men Spray New In Box,eau de toilette,49.99,19.0,Eau de Toilette
Yves Saint Laurent,YSL La Nuit De L’Homme Bleu Electrique EDT INTENSE 3.3OZ/100ML RARE & NEW IN BOX,eau de toilette,178.99,77.0,Eau de Toilette
emper,Big Ben London Blanc  By Emper Eau De Perfume 2.8 fl Oz./85ml,eau de parfum,29.95,2.0,Eau de Parfum
Yves Saint Laurent,Y by Yves Saint Laurent Eau De Parfum Spray 3.3 /3.4 oz Men Sealed!!!,eau de parfum,58.99,22.0,Eau de Parfum
Ed Hardy,Ed Hardy Born Wild Eau De Toilette Spray 3.4oz./100ml (Scuffs & Scratches)No Cap,eau de toilette,40.95,14.0,Eau de Toilette
Maison Francis Kurkdjian,Maison Francis Kurkdjian Amyris Pour Homme Eau de Toilette 2.4 Fl Oz,does not apply,159.99,2.0,Other
Gucci,Gucci Guilty Black for Men Cologne 3.0 oz edt NEW IN BOX,eau de toilette,71.98,100.0,Eau de Toilette
Giorgio Armani,Giorgio Armani Aqua Di Gio 3.4 oz Men's Eau de Toilette Spray New,eau de toilette,29.99,61.0,Eau de Toilette
MONTALE,WOOD & SPICE Montale for men 3.4 OZ New Box,eau de parfum,59.0,4.0,Eau de Parfum
Creed,Creed Aventus For Men Travel Size Pack of 2 Rollerball By Y.Z.Y Scents,oil,9.96,266.0,Other
BRUT,Brut 7oz Classic Scent Splash-on Cologne (Pack of 2),splash-on,19.97,15.0,Other
SECERTMU,Men's Perfume Pheromone- Infused Cupid Hypnosis Cologne Fragrances Charm Spray！,pheromone,12.99,10.0,Other
Dolce&Gabbana,LIGHT BLUE FOREVER Cologne for men Dolce & Gabbana 0.33 oz/10 ml EDP Spray unbox,eau de parfum,18.89,125.0,Eau de Parfum
Bvlgari,Bvlgari Man In Black Eau De Parfum 0.5 oz/15 Ml Spray New In Box,eau de parfum,29.99,25.0,Eau de Parfum
CHRISTIAN DIOR,"DIOR SAUVAGE ELIXER / Elixir Mini Spray for Men, New, .25 Oz. Free Shipping",eau de parfum,27.5,29.0,Eau de Parfum
Dolce&Gabbana,K by Dolce & Gabbana 3.4 oz Eau De Toilette King Cologne Spray for Men New,eau de toilette,34.99,48.0,Eau de Toilette
Issey Miyake,"L'eau D'issey Intense by Issey Miyake, 2.5 oz EDT Spray for Men",eau de toilette,24.35,88.0,Eau de Toilette
Moschino,New in Box Men's Perfume Toy Boy by Moschino Eau De Parfum EDP Spray 3.4oz/100ml,eau de parfum,34.99,3.0,Eau de Parfum
Bond No. 9,"Bond No. 9 Governors Island by Bond No. 9, 3.3 oz EDP Spray for Men",eau de parfum,160.27,47.0,Eau de Parfum
Kenneth Cole,Tester Men Kenneth Cole Mankind Hero by Kenneth Cole 3.4 oz New No Cap,edt,24.5,415.0,Eau de Toilette
Fragrance World,Fragrance World Men's Alpha EDP Spray 3.4 oz Fragrances 6290360373317,fragrances,32.89,8.0,Other
John Varvatos,XX Artisan by John Varvatos cologne for men EDT 4.2 oz New Tester,eau de toilette,29.2,121.0,Eau de Toilette
Blue Perfumes,JPG le male inspiration Blue for Men Eau De Toilette 4.2 oz / 125 ml,eau de toilette,16.99,3.0,Eau de Toilette
Hugo Boss,Reversed by Hugo Boss cologne for men EDT 4.2 oz New in Box,eau de toilette,29.78,604.0,Eau de Toilette
Al Haramain,L'aventure Knight by Al Haramain cologne for men EDP 3.3 / 3.4 oz New in Box,eau de perfume,30.93,998.0,Eau de Parfum
Creed,Creed Silver Mountain Water by Creed 3.3 oz Perfume Cologne for Men New In Box,eau de parfum,180.17,327.0,Eau de Parfum
Boucheron,JAIPUR Homme by Boucheron cologne 3.3 / 3.4 oz EDP For Men New in Box,eau de parfum,35.58,1024.0,Eau de Parfum
fragance one,Office For Men Fragrance One By Jeremy Fragrance 100ml - 3.3oz 3.4oz NEW $250,eau de parfum,179.99,5.0,Eau de Parfum
Armaf,Armaf Tag Him Uomo Rosso Red Eau De Parfum 100ml,eau de parfum,45.35,1.0,Eau de Parfum
Paco Rabanne,Invictus Victory Elixir by Paco Rabanne 3.4oz Parfum Intense Men NEW SEALED Box,parfum intense,99.99,50.0,Eau de Parfum
Paco Rabanne,Paco Rabanne Pure XS Night 3.4 oz 100 ml EDP  Spray in white box. Discontinued.,eau de parfum,69.99,13.0,Eau de Parfum
Elixir,Christian Dior Sauvage Elixir Men EDC Spray 2 oz Sealed.,edc,110.19,11.0,Cologne
Michael Malul Gents Scents,Edgewater 3.4 EDP Michael Malul Gents Scents,eau de parfum,99.86,4.0,Eau de Parfum
Xerjoff,Mefisto Gentiluomo by Xerjoff EDP for Men 2ml Vial Spray New Factory Sealed,eau de parfum,11.0,47.0,Eau de Parfum
Guerlain,VETIVER by Guerlain 4 ml/ 0.13 oz Eau de Cologne MINI Splash VINTAGE New,eau de cologne,12.0,22.0,Cologne
Ralph Lauren,"Ralph Lauren Polo Black - Bold 4.2oz Men's EDT, New in Sealed Box",eau de toilette,31.99,15.0,Eau de Toilette
Polo Ralph Lauren,Polo RALPH LAUREN Red Parfum 0.34 .34 oz 10 ml travel spray NEW 2024,eau de parfum,8.99,8.0,Eau de Parfum
united scents,Men's  Perfume Black Intense 3.4 Fl Oz Parfum Fragrance,eau de parfum,14.99,20.0,Eau de Parfum
Burberry,BURBERRY LONDON By Burberry 3.3 / 3.4 oz EDT cologne For Men New in Box,eau de toilette,39.25,30.0,Eau de Toilette
Jimmy Choo,"Jimmy Choo Man, Aqua, Blue, Intense Collection Sample Size (4pcs)",eau de toilette,16.5,67.0,Eau de Toilette
Cologne,PACO RABANNE Phantom Parfum 0.17oz/5mL Mens - Mini Size Cologne - New In Box!,eau de parfum,24.99,2.0,Eau de Parfum
Avon,sensus ultra colonia de avon para caballero elije tu favorita 100% original,eau de toilette,34.99,577.0,Eau de Toilette
Jimmy Choo,Jimmy Choo Man Intense by Jimmy Choo Eau De Toilette Spray 3.3 oz Men,eau de toilette,68.72,55.0,Eau de Toilette
Unbranded,3.4 oz/100mL Eau de Toilette Spray Brand New for Giorgio Armani Acqua Di Gio,eau de toilette,25.89,4.0,Eau de Toilette
Yves Saint Laurent,Y YSL YVES SAINT LAURENT EAU DE TOILETTE 0.25 Fl. Oz. 7.5 Ml. COLLECTIBLE MINI,eau de toilette,16.95,69.0,Eau de Toilette
Giorgio Armani,Armani Code by Giorgio Armani 4.2 oz EDT Cologne for Men Factory Sealed,eau de toilette,36.5,185.0,Eau de Toilette
Creed,2X Creed Millesime Imperial Men Sample Vial 0.08 oz 2.5 ml Eau De Parfum Spray,eau de parfum,15.95,30.0,Eau de Parfum
Calvin Klein,Escape For Men by Calvin Klein Eau De Toilette ~ 3.3 FL OZ ~ Sealed ~ AUTHENTIC,eau de toilette,24.95,8.0,Eau de Toilette
Unbranded,Cologne Fragrance Aluminum Car Air Freshener for Men Modern Vent-Clip universal,car air freshener,7.19,131.0,Other
YSL,YSL Yves Saint Laurent Y Eau de Perfume  100ml / 3.3 oz Men Cologne Sealed Box,eau de parfum,44.99,13.0,Eau de Parfum
Pierre Cardin,Pierre Cardin For Men EDC Spray Cologne 1oz Unboxed New,eau de cologne,9.45,56.0,Cologne
Paco Rabanne,Paco Rabanne Invictus Cologne EDT 3.4oz Sealed Victory Scent Power,eau de toilette,39.99,5.0,Eau de Toilette
Unbranded,"Cupid II Charm Toilette for Men,Pheromone-Infused Perfume Cologne Fragrances NEW",perfume,15.99,81.0,Perfume
Bharara,Double Bleu by Bharara cologne for men EDP 3.3 / 3.4 oz New In Box,eau de parfum,54.85,8.0,Eau de Parfum
as showed,Givenchy Gentleman Reserve Privee 3.38oz 100ml EDP Cologne Mens Spray NEW in Box,eau de parfum,42.39,4.0,Eau de Parfum
aladdin,Santa fe cologne spray for men  by Aladdin 1.7 oz,eau de cologne,28.99,3.0,Cologne
Giorgio Armani,Giorgio Armani Code Profumo Men 3.7 oz 110 ml New Sealed in Box,eau de parfum,84.99,8.0,Eau de Parfum
Hermes,Hermes Men's Terre D'Hermes Parfum Spray 0.42 oz Fragrances 3346131402519,fragrances,28.19,6.0,Other
Salvatore Ferragamo,Salvatore Ferragamo Intense Leather Eau de Parfum for Men 1.0 Oz / 30ml,eau de parfum,26.99,14.0,Eau de Parfum
Rasasi,Hawas by Rasasi 3.4oz EDP for Men NEW SEALED Box,eau de parfum,49.5,2.0,Eau de Parfum
Dolce&Gabbana,K by Dolce & Gabbana KING cologne for men EDT 5 oz New in Box,eau de toilette,56.99,993.0,Eau de Toilette
Bvlgari,Bvlgari Aqva Marine Pour Homme 3.4 oz EDT Cologne for Men Tester,eau de toilette,64.02,10.0,Eau de Toilette
Hanae Mori,Hanae Mori HiM Men’s Eau de Toilette 10 Sprays 1.2ml Each *NEW* *FREE SHIPPING*,eau de toilette,15.39,1.0,Eau de Toilette
Phillips-Van Heusen,Izod by Phillips-Van Heusen 3.4 oz / 100 ml Edt spy cologne for men pour homme,eau de toilette,21.25,504.0,Eau de Toilette
Elizabeth Taylor,Elizabeth Taylor PASSION Cologne Spray for Men 4 oz,eau de cologne,17.17,4.0,Cologne
Polo Ralph Lauren,Ralph Lauren Polo Red Extreme Parfum for Men 4.2 oz 125 ml  New open white box.,parfum,103.2,5.0,Eau de Parfum
Gucci,Gucci Guilty Black 3.0 oz EDT Cologne for Men New Tester,eau de toilette,68.3,137.0,Eau de Toilette
Carolina Herrera,Carolina Herrera Bad Boy Dazzling Garden 3.3/3.4 oz Eau De Toilette 100ml (NWOB),eau de toilette,65.99,17.0,Eau de Toilette
Ralph Lauren,Polo Cologne Intense by Ralph Lauren for men EDC 4.0 oz New in Box,eau de cologne,41.44,145.0,Cologne
Bath & Body Works,Bath & Body Works Men's Collection Fragrance Cologne Body Spray 3.7 oz Choose 1,body spray,10.91,654.0,Body Spray
Dossier,AQUATIC LIME mens DOSSIER fragrance EDT for Acqua Di Gio 1.7oz 50ml,eau de toilette,18.99,14.0,Eau de Toilette
Lalique,Encre Noire A L'extreme by Lalique cologne for him EDP 3.3 / 3.4 oz New Tester,eau de parfum,25.74,7.0,Eau de Parfum
Givenchy,GENTLEMEN ONLY by Givenchy Cologne 3.3 / 3.4 oz EDT Cologne For Men New in Box,eau de toilette,50.44,636.0,Eau de Toilette
Afnan,Afnan 9 PM Men Sample Vial 0.09 oz 3 ml Eau De Parfum Spray On Card,eau de parfum,6.94,131.0,Eau de Parfum
AS SHOWN,Eros Flame ByVERSACE Spray 3.4oz/100ml Fragrance Cologne For Men NIB,eau de parfum,36.99,12.0,Eau de Parfum
Xerjoff,Naxos By Xerjoff Vial Spray 2ml New Sealed,eau de parfum,11.99,442.0,Eau de Parfum
Jaguar,Jaguar Classic Motion by Jaguar Cologne 3.4 / 3.3 oz Men edt NEW IN BOX,eau de toilette,14.57,63.0,Eau de Toilette
Al Rehab,WITHOUT BOX - 50ml (1.65 fl oz) Al Rehab Choco Musk Concentrated Perfume Oil,perfume,8.99,76.0,Perfume
Cologne,New 10x New Random Unique Men's Fragrance Cologne Sample Set Christimas Gift Set,perfume,19.9,331.0,Perfume
BOD man,"BOD Man Fragrance Body Spray, Black, 8 fl oz Fresh Free Shipping",fragrance body spray,9.99,32.0,Body Spray
Diesel,Diesel Only The Brave by Diesel EDT Cologne for Men 6.7 oz New In Box,eau de toilette,56.0,677.0,Eau de Toilette
Amouage,Amouage Interlude by Amouage 3.4 oz EDP Cologne for Men New In Box,eau de parfum,166.18,78.0,Eau de Parfum
Ralph Lauren,Polo Blue by Ralph Lauren EDT for Men 2.5oz - 75ml *NEW IN SEALED BOX*,eau de cologne,29.99,60.0,Cologne
Rasasi,Rasasi It's Essential for Men Long Lasting Eau De Parfum- 100ml- FREE SHIPPING,eau de parfum,38.0,12.0,Eau de Parfum
Bvlgari,Bvlgari Man In Black Made Stronger With Pheromones For Super Sexy Scent Trails!,eau de toilette,16.48,24.0,Eau de Toilette
Armaf,Armaf club de nuit UNTOLD 6.7oz/200ml Eau de Parfum Unisex Spray - New & Sealed,eau de parfum,85.0,10.0,Eau de Parfum
Armaf,Armaf Odyssey Mandarin Sky Eau De Parfum for Men 100ml - FREE SHIPPING,eau de parfum,41.0,397.0,Eau de Parfum
Dana,Women TABU by DANA 2.3 oz EDC Spray New In Box (NOT 3.0),eau de cologne,14.99,647.0,Cologne
Carolina Herrera,HERRERA FOR MEN * Carolina Herrera Cologne * EDT * 6.7 / 6.8 oz * NEW IN BOX,eau de toilette,66.52,1963.0,Eau de Toilette
Giorgio Armani,Lot of 12 - Acqua Di Gio Profondo - Men's Luxury Cologne Samples - EDP - Armani,eau de parfum,24.0,2.0,Eau de Parfum
